date,district,code_02_allergy_insect,code_06_breathing,code_09_cardiac_arrest,code_10_chest_pain,code_12_seizure,code_13_blood_sugar,code_17_falls,code_18_headache,code_19_heart_problems,code_20_heat_cold_exposure,code_28_stroke_tia,code_31_loss_of_consciousness,day_of_week,is_weekend,month,day_of_year,year,week_of_year,is_public_holiday,covid_flag,doy_sin,doy_cos
2022-12-18,Charlottenburg-Wilmersdorf,0.42857142857142855,16.571428571428573,1.5714285714285714,7.142857142857143,2.142857142857143,1.0,23.142857142857142,0.14285714285714285,8.142857142857142,0.2857142857142857,5.428571428571429,13.571428571428571,6,True,12,352,2022,50,0,0,-0.225963608248019,0.974135744004672
2022-12-18,Friedrichshain-Kreuzberg,0.2857142857142857,9.285714285714286,1.7142857142857142,4.714285714285714,3.5714285714285716,1.1428571428571428,11.714285714285714,0.8571428571428571,4.428571428571429,0.5714285714285714,2.142857142857143,8.857142857142858,6,True,12,352,2022,50,0,0,-0.225963608248019,0.974135744004672
2022-12-18,Lichtenberg,0.2857142857142857,13.857142857142858,1.2857142857142858,3.857142857142857,2.142857142857143,1.0,17.285714285714285,0.7142857142857143,5.571428571428571,0.2857142857142857,3.7142857142857144,13.142857142857142,6,True,12,352,2022,50,0,0,-0.225963608248019,0.974135744004672
2022-12-18,Marzahn-Hellersdorf,0.7142857142857143,13.857142857142858,1.4285714285714286,6.142857142857143,1.7142857142857142,1.0,14.285714285714286,1.2857142857142858,6.857142857142857,0.2857142857142857,3.5714285714285716,8.0,6,True,12,352,2022,50,0,0,-0.225963608248019,0.974135744004672
2022-12-18,Mitte,0.8571428571428571,24.571428571428573,2.2857142857142856,8.571428571428571,3.7142857142857144,1.7142857142857142,22.571428571428573,2.142857142857143,9.857142857142858,0.8571428571428571,4.285714285714286,18.571428571428573,6,True,12,352,2022,50,0,0,-0.225963608248019,0.974135744004672
2022-12-18,Neukölln,0.7142857142857143,18.571428571428573,2.0,7.428571428571429,2.857142857142857,0.14285714285714285,17.0,1.0,6.0,0.5714285714285714,4.0,11.428571428571429,6,True,12,352,2022,50,0,0,-0.225963608248019,0.974135744004672
2022-12-18,Pankow,0.8571428571428571,16.857142857142858,1.7142857142857142,6.714285714285714,3.142857142857143,0.8571428571428571,19.142857142857142,0.42857142857142855,5.857142857142857,0.14285714285714285,2.5714285714285716,11.285714285714286,6,True,12,352,2022,50,0,0,-0.225963608248019,0.974135744004672
2022-12-18,Reinickendorf,0.5714285714285714,17.714285714285715,1.5714285714285714,5.285714285714286,2.142857142857143,0.7142857142857143,15.285714285714286,0.8571428571428571,5.0,0.14285714285714285,6.285714285714286,13.0,6,True,12,352,2022,50,0,0,-0.225963608248019,0.974135744004672
2022-12-18,Spandau,0.42857142857142855,15.571428571428571,1.5714285714285714,5.142857142857143,2.4285714285714284,0.7142857142857143,16.142857142857142,0.5714285714285714,4.285714285714286,0.14285714285714285,4.0,9.428571428571429,6,True,12,352,2022,50,0,0,-0.225963608248019,0.974135744004672
2022-12-18,Steglitz-Zehlendorf,0.2857142857142857,14.0,0.7142857142857143,4.142857142857143,2.0,0.8571428571428571,18.285714285714285,0.14285714285714285,5.714285714285714,0.5714285714285714,3.4285714285714284,10.571428571428571,6,True,12,352,2022,50,0,0,-0.225963608248019,0.974135744004672
2022-12-18,Tempelhof-Schöneberg,0.5714285714285714,16.857142857142858,1.4285714285714286,5.571428571428571,3.5714285714285716,0.42857142857142855,21.0,0.42857142857142855,4.571428571428571,0.42857142857142855,4.285714285714286,14.571428571428571,6,True,12,352,2022,50,0,0,-0.225963608248019,0.974135744004672
2022-12-18,Treptow-Köpenick,0.14285714285714285,17.285714285714285,1.2857142857142858,5.714285714285714,4.285714285714286,0.7142857142857143,19.428571428571427,0.8571428571428571,5.0,0.0,4.857142857142857,9.714285714285714,6,True,12,352,2022,50,0,0,-0.225963608248019,0.974135744004672
